"date,count,total_count,ratio"
2015-12-18,779,18168,0.042877586966094235
2015-12-19,669,9615,0.06957878315132605
2015-12-20,813,9796,0.08299305839118007
2015-12-21,1132,16331,0.06931602473822791
2015-12-22,1001,17111,0.058500379872596577
2015-12-23,822,15972,0.05146506386175808
2015-12-24,426,11383,0.03742422911359044
2015-12-25,132,6539,0.02018657287046949
2015-12-26,303,7065,0.042887473460721866
2015-12-27,298,8561,0.03480901763812639
2015-12-28,651,13352,0.048756740563211505
2015-12-29,720,14999,0.04800320021334756
2015-12-30,777,15387,0.05049717293819458
2015-12-31,525,13832,0.03795546558704453
2016-01-01,281,8693,0.03232485908202001
2016-01-02,570,8116,0.07023164120256284
2016-01-03,704,9935,0.0708605938600906
2016-01-04,851,17846,0.047685755911688894
2016-01-05,943,19401,0.0486057419720633
2016-01-06,946,20596,0.04593124878617207"
""
"2016-01-07,1025,20422,0.050190970521986095
2016-01-08,894,19033,0.046971050281090734
2016-01-09,567,10298,0.05505923480287434
2016-01-10,646,11113,0.058130117879960405
2016-01-11,869,19234,0.04518040969117188
2016-01-12,1021,20126,0.05073039848951605
2016-01-13,1155,20771,0.05560637427182129
2016-01-14,1335,21360,0.0625"
"2016-01-15,1434,20233,0.07087431423911432
2016-01-16,483,10040,0.04810756972111554
2016-01-17,567,10498,0.05401028767384264
2016-01-18,953,14599,0.06527844372902254
2016-01-19,1565,19965,0.07838717756073128
2016-01-20,1687,20472,0.08240523642047674
2016-01-21,1162,20375,0.057030674846625766
2016-01-22,1126,19257,0.058472243859375814
2016-01-23,848,10111,0.08386905350608248
2016-01-24,812,9859,0.08236129424890963
2016-01-25,1080,18320,0.05895196506550218
2016-01-26,1597,20254,0.0788486224943221
2016-01-27,1813,20928,0.0866303516819572
2016-01-28,1869,21600,0.08652777777777777
2016-01-29,1655,19613,0.0843828073216744
2016-01-30,672,10178,0.06602475928473177
2016-01-31,968,10109,0.0957562568008705
2016-02-01,1884,19426,0.09698342427674252
2016-02-02,1815,20985,0.0864903502501787
2016-02-03,1417,21633,0.06550177968843895
2016-02-04,1063,21689,0.04901101941076121
2016-02-05,1050,20612,0.05094119930137784
2016-02-06,829,10942,0.0757631146042771"
""
