date,count,ratio,year,month
2013-08-27,5,0.0004157658406785,2013,8
2013-08-28,6,0.0004348771472059,2013,8
2013-08-29,4,0.0002981736861721,2013,8
2013-08-30,10,0.00078125,2013,8
2013-08-31,52,0.0069231793369724,2013,8
2013-09-01,82,0.0068367517091879,2013,9
2013-09-02,33,0.0027322404371584,2013,9
2013-09-03,20,0.0013704262025489,2013,9
2013-09-04,13,0.0008014796547472,2013,9
2013-09-05,18,0.0010970258410531,2013,9
2013-09-06,14,0.0009915014164305,2013,9
2013-09-07,4,0.0004989397530248,2013,9
2013-09-08,13,0.0013531799729364,2013,9
2013-09-09,25,0.0015940827647771,2013,9
2013-09-10,8,0.0005039687539372,2013,9
2013-09-11,13,0.0009267179925862,2013,9
2013-09-12,11,0.0008235998802036,2013,9
2013-09-13,7,0.0006314839873703,2013,9
2013-09-14,3,0.0005917159763313,2013,9
2013-09-15,1,0.0001913875598086,2013,9
2013-09-16,15,0.0016516185862144,2013,9
2013-09-17,16,0.0010902153175252,2013,9
2013-09-18,10,0.0007433286255853,2013,9
2013-09-19,8,0.0005364806866952,2013,9
2013-09-20,31,0.0020909213543774,2013,9
2013-09-21,10,0.0004780114722753,2013,9
2013-09-22,86,0.0037206887600588,2013,9
2013-09-23,69,0.0026877531941414,2013,9
2013-09-24,53,0.0022852707830286,2013,9
2013-09-25,50,0.0029171528588098,2013,9
2013-09-26,28,0.0014951674053505,2013,9
2013-09-27,27,0.0014795331251027,2013,9
2013-09-28,2,0.000203832042397,2013,9
2013-09-29,5,0.0004964750273061,2013,9
2013-09-30,51,0.0028606686111734,2013,9
2013-10-01,8,0.0004014452027298,2013,10
2013-10-02,4,0.0002179242713157,2013,10
2013-10-03,9,0.0005374738727978,2013,10
2013-10-04,19,0.001840550227647,2013,10
2013-10-05,4,0.0002683303146172,2013,10
2013-10-06,3,0.0002284321937105,2013,10
2013-10-07,5,0.0003792188092529,2013,10
2013-10-08,6,0.0004111560337147,2013,10
2013-10-09,7,0.0003438789546079,2013,10
2013-10-10,35,0.0014736842105263,2013,10
2013-10-11,30,0.001051156271899,2013,10
2013-10-12,13,0.0007404032349925,2013,10
2013-10-13,4,0.0002467155985937,2013,10
2013-10-14,8,0.0004588471465443,2013,10
2013-10-15,10,0.000396982929734,2013,10
2013-10-16,5,0.0002560294945977,2013,10
2013-10-17,30,0.0017112543494381,2013,10
2013-10-18,3,0.0002607108716433,2013,10
2013-10-19,0,0.0,2013,10
2013-10-20,1,0.0003591954022988,2013,10
2013-10-21,8,0.0013286829430327,2013,10
2013-10-22,5,0.0004803073967339,2013,10
2013-10-23,8,0.0003740415186085,2013,10
2013-10-24,26,0.0009292019584718,2013,10
2013-10-25,39,0.0009872917826945,2013,10
2013-10-26,8,0.0004788985333732,2013,10
2013-10-27,7,0.0003709591944886,2013,10
2013-10-28,9,0.0003213367609254,2013,10
2013-10-29,18,0.0008442776735459,2013,10
2013-10-30,11,0.000648088139987,2013,10
2013-10-31,7,0.0003170002717145,2013,10
2013-11-01,4,0.0002929329915781,2013,11
2013-11-02,9,0.0009874917709019,2013,11
2013-11-03,11,0.0004510599909788,2013,11
2013-11-04,18,0.0009259735583106,2013,11
2013-11-05,4,0.0002733921126375,2013,11
2013-11-06,4,0.0003275466754012,2013,11
2013-11-07,9,0.0006858710562414,2013,11
2013-11-08,5,0.0003769317753486,2013,11
2013-11-09,4,0.0005268010009219,2013,11
2013-11-10,9,0.0010223787345223,2013,11
2013-11-11,17,0.0010990431859322,2013,11
2013-11-12,33,0.0025658968975973,2013,11
2013-11-13,11,0.0007785956964892,2013,11
2013-11-14,0,0.0,2013,11
2013-11-15,13,0.001104878463369,2013,11
