publish_date,title,media_name
2011-01-28,"Nelson Mandela, 92, remains hospitalized; rumors swirl in South Africa",latimes.com
2011-01-28,South Africans relieved as Mandela heads home,latimes.com
2011-01-28,Mandela Discharged from Hospital,thedailybeast.com
2011-01-28,"Mandela, 92, home from S. African hospital - Sacramento News - Local and Breaking Sacramento News",sacbee.com
2011-01-28,Nelson Mandela discharged from South African hospital,nypost.com
2011-01-28,Mandela suffers collapsed lung,nypost.com
2011-01-28,Mandela to be discharged from hospital,upi.com
2011-01-28,"No ""Panic"" as Mandela Discharged from Hospital",cbsnews.com
2011-01-28,"Nelson Mandela, 92, remains hospitalized; rumors swirl in South Africa",latimes.com
2011-01-28,Nelson Mandela discharged from South African hospital,nypost.com
2011-01-28,A.M. national and world news links: Turmoil in the Middle East; Mandela remains in hospital; a long wait for lotto jackpot,cleveland.com
2011-01-27,Mandela recovering after lung scare,reuters.com
2011-01-28,Mandela suffers collapsed lung,nypost.com
2011-01-28,SAfrica says 'no need to panic' over Mandela,ajc.com
2011-01-28,"Nelson Mandela, 92, remains hospitalized; rumors swirl in South Africa",latimes.com
2011-01-27,SAfrica says 'no need to panic' over Mandela - Sacramento News - Local and Breaking Sacramento News,sacbee.com
2011-01-28,"Nelson Mandela, 92, remains hospitalized; rumors swirl in South Africa",latimes.com
2011-01-27,"Nelson Mandela, 92, remains hospitalized in South Africa",chron.com
2011-01-21,"In Hospital, Mandela Draws a Crowd",wsj.com
2011-01-27,Mandela Hospitalized for Tests,thedailybeast.com
2011-01-29,South African official: Nelson Mandela doing well,ajc.com
2011-01-29,South African official: Nelson Mandela doing well,miamiherald.com
2011-01-29,S. Africans to light candles in support of Mandela,foxnews.com
2011-01-29,South Africa relieved as Mandela hospitalization ends,latimes.com
2011-01-29,South Africa relieved as Mandela hospitalization ends,latimes.com
2011-01-29,Nelson Mandela sent home from hospital,dispatch.com
2011-01-29,"Mandela, 92, leaves hospital for care at home",denverpost.com
2011-01-29,South Africa relieved as Mandela hospitalization ends,latimes.com
2011-01-29,South Africa relieved as Mandela hospitalization ends,latimes.com
2011-01-29,South Africa relieved as Mandela hospitalization ends,latimes.com
2011-01-29,South Africa relieved as Mandela hospitalization ends,latimes.com
2011-01-28,South Africans relieved as Mandela heads home,latimes.com
2011-01-30,Spokesman says Mandela is faring well,denverpost.com
2011-01-29,South African official: Nelson Mandela doing well,kansascity.com
2011-01-29,South African official: Nelson Mandela doing well,arkansasonline.com
2011-01-29,South African official: Nelson Mandela doing well - Sacramento News - Local and Breaking Sacramento News,sacbee.com
2011-01-30,"Mandela recovering well, but visitor rush a concern",reuters.com
2011-02-01,South African president visits Mandela at home,miamiherald.com
2011-02-01,South African president visits Mandela at home,kansascity.com
2011-02-01,South African president visits Mandela at home - Sacramento News - Local and Breaking Sacramento News,sacbee.com
2011-02-01,South Africa: Mandela Responds to Treatment for Respiratory Infection,nytimes.com
2011-02-01,South African president visits Mandela at home,foxnews.com
2011-02-04,"A Week in History: The Beatles Arrive, Mandela Freed, Deep Blue Wins",usnews.com
2011-02-10,"Mandela's health OK, South Africa president says - Sacramento News - Local and Breaking Sacramento News",sacbee.com
2011-02-11,Mandela's daughter says he is doing well,upi.com
2011-02-10,South Africa court will not extradite Mandela son-in-law to U.S.,reuters.com
2011-02-10,"Mandela's health OK, South Africa president says",kansascity.com
2010-11-19,"Pacquiao fan Nelson Mandela now fully recovered, says daughter",reuters.com
2011-02-11,"Winnie Mandela, cop dispute traffic row",upi.com
2011-03-03,Nelson Mandela and the Unveiling of Celebrity,cnn.com
2011-03-08,"Google to give $1.25M to Nelson Mandela Foundation - Sacramento Business, Housing Market News",sacbee.com
2011-08-03,Google to give $1.25M to Nelson Mandela Foundation,mercurynews.com
2011-03-08,Google to give $1.25m to Nelson Mandela Foundation,arkansasonline.com
2011-03-09,Mandela Foundation launching international fashion clothing line in South Africa,startribune.com
2011-03-08,Google to Give $1.25m to Nelson Mandela Foundation,foxnews.com
2011-03-09,Google to publish Nelson Mandela documents,sfgate.com
2011-03-08,Google to publish Nelson Mandela documents,sfgate.com
